name,metric,min,max,avg,sd,median,pct90,pct95,pct99
StringsClojures,ops,819,879,855.82,12.02445840776207,862,879,884,886
StringsClojures,ns/op,1384438,1422822,1397497.5,7646.379384388405,1394943,1408327,1394018,1400373
StringsClojures,allocs/op,10024,10026,10024.62,0.5249761899362675,10024,10024,10023,10024
StringsClojures,B/op,480585,480626,480600.64,8.011891162515875,480597,480585,480581,480582
StringsRef,ops,4876,6020,5488.36,193.93687220330227,5468,5510,5445,4935
StringsRef,ns/op,209327,215647,211564.58,1322.2084720648254,211330,210287,212832,209393
StringsRef,allocs/op,10003,10004,10003.02,0.1400000000000001,10003,10003,10003,10003
StringsRef,B/op,160080,160099,160088.12,3.2350579592953204,160088,160088,160089,160098
Ints,ops,542000,599268,568362.56,13764.77855711453,585243,573711,556857,560757
Ints,ns/op,2100,2146,2117.82,9.437563244821202,2118,2113,2123,2125
Ints,allocs/op,0,0,0,0,0,0,0,0
Ints,B/op,0,0,0,0,0,0,0,0
StructsClojures,ops,75,81,78.69767441860465,1.2110899131433983,80,81,77,81
StructsClojures,ns/op,14679875,15624729,14994922.511627907,190091.80222973198,15196525,14785715,16246054,14588954
StructsClojures,allocs/op,20002,20002,20002,0,20002,20002,20002,20002
StructsClojures,B/op,83235908,83314936,83265053.25581396,15963.051407449791,83248263,83230306,83284932,83241041
Structs,ops,326,494,466.76,38.19086801841509,460,471,486,480
Structs,ns/op,2354498,3281065,2471417.76,210221.40536744206,2448782,2357378,2391232,2475745
Structs,allocs/op,0,0,0,0,0,0,0,0
Structs,B/op,161949,245408,172882.34,18197.092533270254,174318,169857,164780,166847
Strings,ops,509594,571430,547981.1,14093.437704477923,554543,540568,578891,532349
Strings,ns/op,2100,2149,2116.9,11.007724560507501,2114,2106,2103,2160
Strings,allocs/op,0,0,0,0,0,0,0,0
Strings,B/op,0,0,0,0,0,0,0,0
IntsRef,ops,12840,13504,13306.6,123.38411567134564,13279,13093,13054,13076
IntsRef,ns/op,89072,92322,90169.58,667.1550371540336,89434,90254,90869,89749
IntsRef,allocs/op,10000,10000,10000,0,10000,10000,10000,10000
IntsRef,B/op,80006,80006,80006,0,80006,80006,80006,80006
IntsClojures,ops,829,892,875.68,12.262854480095571,867,886,878,891
IntsClojures,ns/op,1352658,1389034,1365478.8,7334.923683311231,1362731,1367411,1367646,1359086
IntsClojures,allocs/op,10002,10002,10002,0,10002,10002,10002,10002
IntsClojures,B/op,320119,320381,320129.58,36.59294467516929,320125,320123,320122,320122
StructsRef,ops,90,98,95.7,1.9416487838947605,93,97,97,93
StructsRef,ns/op,11878869,12940583,12313606.66,231347.93637693074,12471022,12399974,13157989,12357115
StructsRef,allocs/op,10000,10000,10000,0,10000,10000,10000,10000
StructsRef,B/op,82736358,82808928,82756335.6,17292.45862912501,82776853,82744790,82744518,82779985
