name,metric,min,max,avg,sd,median,pct90,pct95,pct99
Ints,ops,45454,52452,51309.8,1975.212788536972,51893,52423,52592,52726
Ints,ns/op,22880,23468,23093.4,205.50143551810044,23092,22961,22938,22919
Ints,allocs/op,0,0,0,0,0,0,0,0
Ints,B/op,15,17,15.2,0.6,15,15,15,15
Strings,ops,47349,50449,49513.9,953.6918212923922,49988,50392,50675,50901
Strings,ns/op,23178,23954,23476.7,262.4831613646864,23669,23954,24342,24652
Strings,allocs/op,3,4,3.6,0.48989794855663565,3,3,3,2
Strings,B/op,95,101,96.6,1.8547236990991407,95,95,95,94
StructsClojures,ops,4,4,4,0,4,4,4,4
StructsClojures,ns/op,261298086,278565130,268601835.4,4402634.319748739,273968453,267689538,265720567,264145390
StructsClojures,allocs/op,200002,200002,200002,0,200002,200002,200002,200002
StructsClojures,B/op,1022409744,1022409792,1022409748.8,14.399999999999999,1022409744,1022409744,1022409744,1022409744
IntsRef,ops,1050,1165,1132.3,31.24755990473496,1145,1129,1135,1139
IntsRef,ns/op,1025010,1105879,1054066.2,22110.356644794312,1060882,1054654,1029042,1008551
IntsRef,allocs/op,100000,100000,100000,0,100000,100000,100000,100000
IntsRef,B/op,800693,800771,800714.6,21.133859089148864,800706,800716,800712,800709
StringsRef,ops,462,481,471.2,5.99666574022598,470,462,456,450
StringsRef,ns/op,2404934,2574467,2471797.3,55338.94533517964,2506630,2439017,2371292,2317112
StringsRef,allocs/op,100415,100432,100423.5,5.463515351859094,100425,100432,100438,100443
StringsRef,B/op,1609994,1610408,1610206,130.41472309520884,1610229,1610408,1610550,1610663
Structs,ops,24,28,25.4,1.624807680927192,26,24,24,23
Structs,ns/op,40201140,43337486,42070139.9,893466.4662762056,42385844,42595695,42654398,42701360
Structs,allocs/op,0,0,0,0,0,0,0,0
Structs,B/op,28571648,33333589,31621081,1951806.5030982452,30952618,33333589,34000261,34533599
StructsRef,ops,4,5,4.1,0.29999999999999993,4,4,4,4
StructsRef,ns/op,243179257,255807745,252985720,3550674.9547802038,252958580,252877773,251589038,250558049
StructsRef,allocs/op,100000,100000,100000,0,100000,100000,100000,100000
StructsRef,B/op,979201228,1019201560,1015201510,12000094.000003733,1019201548,1019201536,1019201536,1019201536
IntsClojures,ops,63,73,67.2,2.6758176320519307,67,67,67,66
IntsClojures,ns/op,17424919,17865070,17634570.7,135853.04526734023,17575248,17865070,17981274,18074236
IntsClojures,allocs/op,100002,100007,100002.5,1.5,100002,100002,100002,100002
IntsClojures,B/op,3211686,3213370,3212286.9,504.0143747950052,3211947,3212025,3212112,3212181
StringsClojures,ops,63,66,64.7,1.1,65,66,68,69
StringsClojures,ns/op,17983705,18515995,18249599.6,187210.29113176445,18260647,18056318,18092625,18121670
StringsClojures,allocs/op,103028,103172,103089.9,52.48323541856009,103075,103028,102956,102898
StringsClojures,B/op,4872873,4876349,4874381.3,1272.2855850790734,4874016,4872886,4871155,4869769
