name,metric,min,max,avg,sd,median,pct90,pct95,pct99
IntsClosures,ops,648,768,710.56,20.482343615904888,712,700,705,712
IntsClosures,ns/op,1546274,1791323,1691230.26,37777.09855179988,1692449,1728480,1687642,1671199
IntsClosures,allocs/op,10003,10003,10003,0,10003,10003,10003,10003
IntsClosures,B/op,320142,320470,320158.88,47.25320729855277,320149,320152,320148,320150
StructsClosures,ops,128,146,136.4,3.143246729100343,137,136,126,138
StructsClosures,ns/op,8117411,8720793,8461972.24,117180.93341146586,8425561,8411710,8527056,8416833
StructsClosures,allocs/op,10003,10003,10003,0,10003,10003,10003,10003
StructsClosures,B/op,884366,961424,923244.12,13548.916046149228,920488,924657,972539,918218
Ints,ops,476404,528854,517478.2,11736.511703227668,524437,523228,523203,504065
Ints,ns/op,2272,2531,2313.3,40.63852851666753,2297,2306,2292,2290
Ints,allocs/op,0,0,0,0,0,0,0,0
Ints,B/op,0,0,0,0,0,0,0,0
StringsClosures,ops,634,766,694.1,20.65357111978459,695,688,694,696
StringsClosures,ns/op,1581641,1792499,1722582,36288.34974533838,1745045,1772354,1716907,1701875
StringsClosures,allocs/op,10028,10034,10031.1,0.8544003745317539,10031,10031,10031,10031
StringsClosures,B/op,320678,320812,320747.18,21.186495698911603,320746,320753,320749,320744
StringsRef,ops,487870,526362,502790.6,6359.016099995344,501357,504697,497246,534350
StringsRef,ns/op,2274,2379,2305.28,25.961540786324683,2293,2286,2294,2327
StringsRef,allocs/op,0,0,0,0,0,0,0,0
StringsRef,B/op,0,0,0,0,0,0,0,0
Strings,ops,466228,517785,499194.6,8145.156651655019,501939,506335,513505,497693
Strings,ns/op,2276,2424,2311.86,30.77987004520974,2291,2292,2286,2281
Strings,allocs/op,0,0,0,0,0,0,0,0
Strings,B/op,0,1,0.04,0.19595917942265437,0,0,0,0
Structs,ops,290,343,312.58,8.265809095303375,307,322,308,323
Structs,ns/op,3345194,3648965,3474675.24,62593.19311316847,3450653,3412141,3404546,3412237
Structs,allocs/op,0,0,0,0,0,0,0,0
Structs,B/op,233245,275872,256121.92,6747.468108379617,260327,248456,260122,247621
StructsRef,ops,470822,499034,492656.42,5822.89354561802,496441,495418,495887,494901
StructsRef,ns/op,2315,2430,2345,22.639787984873003,2345,2316,2341,2317
StructsRef,allocs/op,0,0,0,0,0,0,0,0
StructsRef,B/op,160,169,161.9,1.9209372712298538,161,161,162,162
IntsRef,ops,445930,527479,517849.7,11662.475612407514,523480,513812,527776,513822
IntsRef,ns/op,2275,2376,2305.54,21.227538717430242,2307,2319,2296,2367
IntsRef,allocs/op,0,0,0,0,0,0,0,0
IntsRef,B/op,0,0,0,0,0,0,0,0
